№ Объекта	Нас. пункт	Район	Улица	Дом	Цена. т.р.	Ком.	О	Ж	К	Этаж	Этажность
17_54410000007	Новосибирск	Октябрьский	Восход	20/1	3600	1	37	27	3	11	19
17_54423000064	Новосибирск	Октябрьский	Высоцкого	11	3400	4	80	60	9	10	10
17_54423000080	Новосибирск	Октябрьский	Бориса Богаткова	202	4149	3	58	40	7	3	9
17_54435000061	Новосибирск	Октябрьский	Выборная	99/6	4860	2	64	35	10	3	7
17_54435000068	Новосибирск	Октябрьский	Лазурная	20	2300	1	32	12	9	7	10
17_54435000071	Новосибирск	Октябрьский	Высоцкого	41/5	2500	1	43	17	12	4	10
17_54463000072	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14	2750	1	37	17	9	5	10
17_54540000001	Новосибирск	Октябрьский	Декабристов	117	2650	1	38	18	11	6	17
17_54547000107	Новосибирск	Октябрьский	Большевистская	112	7770	3	80	45	12	8	10
17_54547000123	Новосибирск	Октябрьский	Высоцкого	27	3200	3	66	40	9	1	10
17_54554000092	Новосибирск	Октябрьский	Лескова	23	7380	2	64	42	13	23	25
17_54562000056	Новосибирск	Октябрьский	Большевистская	122	5700	3	82	45	11	1	10
17_54633000048	Новосибирск	Октябрьский	Виталия Потылицына	1	2100	1	38	20	1	7	10
17_54639000044	Новосибирск	Октябрьский	Бориса Богаткова	208/3	2780	1	24	18	1	6	23
17_54639000068	Новосибирск	Октябрьский	Бориса Богаткова	194/4	4600	3	60	38	7	9	9
17_54644000237	Новосибирск	Октябрьский	Декабристов	117	4320	2	65	45	9	3	17
17_54747000061	Новосибирск	Октябрьский	Декабристов	117	2850	1	40	18	10	3	17
17_54771000071	Новосибирск	Октябрьский	Сакко и Ванцетти	31/1	7430	3	84	47	11	14	14
17_54790000011	Новосибирск	Октябрьский	Высоцкого	33	5500	3	68	52	12	3	9
17_54790000078	Новосибирск	Октябрьский	Вилюйская	3	2700	1	37	20	12	21	26
17_54790000082	Новосибирск	Октябрьский	Бориса Богаткова	179	3699	2	47	29	8	8	9
17_54823000018	Новосибирск	Октябрьский	Виталия Потылицына	3	1960	1	33	20	5	2	10
17_54823000030	Новосибирск	Октябрьский	Зеленый Бор мкр	7	7800	3	99	60	15	4	6
17_54823000047	Новосибирск	Октябрьский	Бориса Богаткова	173	2330	1	30	17	6	3	9
17_54848000096	Новосибирск	Октябрьский	Гурьевская	78	6700	3	110	64	18	5	14
17_54864000053	Новосибирск	Октябрьский	Ипподромская	8	7300	3	68	35	12	11	12
17_54924000094	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	2200	1	33	29	1	8	10
17_54983000173	Новосибирск	Октябрьский	Высоцкого	41/4	2550	1	44	17	12	6	10
17_55011000031	Новосибирск	Октябрьский	Высоцкого	36/1	2950	1	40	16	10	10	10
17_55016000037	Новосибирск	Октябрьский	Гурьевская	42	4300	3	60	48	7	4	12
17_55032000053	Новосибирск	Октябрьский	Выборная	106/1	4090	2	55	30	14	3	17
17_55032000064	Новосибирск	Октябрьский	Выборная	130/2	2400	2	42	24	10	3	4
17_55032000103	Новосибирск	Октябрьский	Бориса Богаткова	199	2800	1	32	17	7	9	10
17_55032000106	Новосибирск	Октябрьский	Ленинградская	147	3050	2	45	32	6	5	6
17_55044000021	Новосибирск	Октябрьский	Выборная	105/2	4120	2	60	33	14	1	10
17_55053000061	Новосибирск	Октябрьский	Татьяны Снежиной	21/2	2800	1	41	17	11	4	10
17_55088000043	Новосибирск	Октябрьский	Выборная	91/4	4380	2	64	32	16	13	19
17_55093000016	Новосибирск	Октябрьский	Кирова	27/3	8690	3	102	63	15	2	16
17_55096000016	Новосибирск	Октябрьский	Высоцкого	139/6	2110	1	41	30	10	4	10
17_55097000764	Новосибирск	Октябрьский	Кирова	108	4100	1	50	23	12	14	17
17_55199000081	Новосибирск	Октябрьский	Бориса Богаткова	171	3090	2	45	28	6	2	5
17_55199000092	Новосибирск	Октябрьский	Ленинградская	273	3190	3	55	37	7	3	10
17_55199000102	Новосибирск	Октябрьский	Высоцкого	140/7	2100	1	48	30	12	5	10
17_55225000006	Новосибирск	Октябрьский	Военная	43710	7920	2	64	45	14	18	25
17_55225000039	Новосибирск	Октябрьский	Высоцкого	41/5	2200	1	33	20	6	6	10
17_55225000047	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14	5200	3	81	50	10	3	10
17_55324000068	Новосибирск	Октябрьский	Лескова	31	5160	1	55	35	6	5	17
17_55365001344	Новосибирск	Октябрьский	Выборная	91/3	2850	1	48	25	12	9	17
17_55367000900	Новосибирск	Октябрьский	Выборная	106/1	5200	3	89	53	14	16	17
17_55367001768	Новосибирск	Октябрьский	Грибоедова	32/3	5300	3	90	60	14	5	12
17_55367002103	Новосибирск	Октябрьский	Федосеева	2	5150	2	69	50	15	14	14
17_55367002371	Новосибирск	Октябрьский	Зеленый Бор мкр	9	3500	1	39	28	10	3	5
17_55367002705	Новосибирск	Октябрьский	Стофато	7	2850	1	40	16	9	8	10
17_55367002796	Новосибирск	Октябрьский	Татьяны Снежиной	51	3900	2	76	1	1	7	10
17_55367002867	Новосибирск	Октябрьский	Ключ-Камышенское Плато	1	2150	2	42	27	6	2	3
17_55367003053	Новосибирск	Октябрьский	Сакко и Ванцетти	77	4200	1	43	18	12	18	22
17_55367003193	Новосибирск	Октябрьский	Высоцкого	43	4200	2	62	30	10	18	27
17_55367003349	Новосибирск	Октябрьский	Декабристов	117	4500	2	63	1	1	16	17
17_55367003364	Новосибирск	Октябрьский	Вилюйская	9	3010	1	38	20	1	10	27
17_55367003814	Новосибирск	Октябрьский	Обская 2-я	69/1	3830	1	40	20	10	9	10
17_55367003963	Новосибирск	Октябрьский	Высоцкого	43	3150	1	35	17	9	11	24
17_55391000024	Новосибирск	Октябрьский	Выборная	105/2	5400	3	82	49	10	3	9
17_55421000562	Новосибирск	Октябрьский	Ленинградская	184	4150	3	60	42	7	3	9
17_55423000020	Новосибирск	Октябрьский	Кирова	27/3	6950	2	70	46	11	12	16
17_55448000063	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2650	1	34	15	11	10	16
17_55460000060	Новосибирск	Октябрьский	Кирова	321	2090	1	33	16	7	5	5
17_55460000075	Новосибирск	Октябрьский	Кирова	27	21900	4	192	120	20	8	9
17_55460000090	Новосибирск	Октябрьский	Кирова	27/3	7900	2	80	46	12	15	16
17_55460000100	Новосибирск	Октябрьский	Кирова	27	21900	3	192	120	20	8	9
17_55464000053	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	3400	2	58	38	8	8	10
17_55464000059	Новосибирск	Октябрьский	Лазурная	16	2220	1	31	12	9	7	10
17_55464000064	Новосибирск	Октябрьский	Ключ-Камышенское Плато	20	2580	1	36	19	9	10	11
17_55475000017	Новосибирск	Октябрьский	Большевистская	43	16349	3	96	60	36	5	5
17_55479000830	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	3100	1	54	25	14	3	10
17_55532000065	Новосибирск	Октябрьский	Добролюбова	162/1	4000	2	51	35	10	17	17
17_55572000042	Новосибирск	Октябрьский	Военная	18	3940	1	50	18	12	12	18
17_55572000046	Новосибирск	Октябрьский	Сакко и Ванцетти	31	3990	1	40	21	9	8	10
17_55581000991	Новосибирск	Октябрьский	Военная	9	6700	2	99	51	13	11	14
17_55595000026	Новосибирск	Октябрьский	Выборная	91/3	2900	1	47	20	13	13	16
17_55595000038	Новосибирск	Октябрьский	Сакко и Ванцетти	31/4	4280	1	42	23	8	4	19
17_55598000077	Новосибирск	Октябрьский	Лескова	27	3550	1	47	27	8	15	25
17_55599001260	Новосибирск	Октябрьский	Выборная	105/3	3050	1	37	19	9	4	9
17_55599001789	Новосибирск	Октябрьский	Бориса Богаткова	163/9	3450	3	60	42	7	1	9
17_55599002001	Новосибирск	Октябрьский	Высоцкого	38	2300	1	34	18	9	6	9
17_55599002044	Новосибирск	Октябрьский	Высоцкого	140/4	2320	2	64	37	13	4	10
17_55599002074	Новосибирск	Октябрьский	Лескова	15	6150	2	62	36	10	6	10
17_55599002183	Новосибирск	Октябрьский	Кирова	27/3	11000	2	91	43	14	15	16
17_55622000082	Новосибирск	Октябрьский	Высоцкого	38	3000	1	30	19	7	8	10
17_55636000037	Новосибирск	Октябрьский	Тополевая	5	1700	1	28	27	1	9	17
17_55668000005	Новосибирск	Октябрьский	Бориса Богаткова	217/1	4600	1	37	15	11	2	12
17_55668000091	Новосибирск	Октябрьский	Бориса Богаткова	208/3	2800	1	27	23	1	18	23
17_55694000034	Новосибирск	Октябрьский	Воинская	75	2950	2	42	16	5	4	5
17_55726000016	Новосибирск	Октябрьский	Бориса Богаткова	178	2600	2	53	33	7	1	2
17_55783000014	Новосибирск	Октябрьский	Кирова	27	9890	2	80	60	13	8	9
17_55783000018	Новосибирск	Октябрьский	Бориса Богаткова	24	2070	1	30	18	7	5	6
17_55799000119	Новосибирск	Октябрьский	Большевистская	48	2500	1	27	16	5	5	5
17_55808000037	Новосибирск	Октябрьский	Ключ-Камышенское Плато	7	2600	1	30	16	6	3	9
17_55872000041	Новосибирск	Октябрьский	Вилюйская	5	4500	2	70	37	12	23	27
17_55872000047	Новосибирск	Октябрьский	Чехова	273	2480	2	44	20	7	4	9
17_55911000035	Новосибирск	Октябрьский	Толстого	56	5070	1	48	1	1	5	26
17_55917000082	Новосибирск	Октябрьский	Татьяны Снежиной	25/2	2550	1	33	20	1	4	10
17_55917000086	Новосибирск	Октябрьский	Лескова	25	4100	1	46	17	13	20	25
17_55917000087	Новосибирск	Октябрьский	Бориса Богаткова	171	3450	3	61	46	5	1	5
17_55917000090	Новосибирск	Октябрьский	Лескова	27/1	4690	2	53	31	5	18	25
17_55951000027	Новосибирск	Октябрьский	Виталия Потылицына	43771	3050	2	42	20	15	16	18
17_55982000013	Новосибирск	Октябрьский	Выборная	122	3600	2	55	1	1	7	10
17_55982000019	Новосибирск	Октябрьский	Лескова	280	3250	2	45	27	7	2	5
17_55990000036	Новосибирск	Октябрьский	Выборная	117	2499	2	41	26	6	2	9
17_55990000039	Новосибирск	Октябрьский	Никитина	70	3400	3	60	42	7	6	9
17_55990000052	Новосибирск	Октябрьский	Выборная	105/1	2100	1	34	16	10	3	10
17_55990000053	Новосибирск	Октябрьский	Кирова	225	3450	1	42	19	11	5	17
17_55990000056	Новосибирск	Октябрьский	Большевистская	175/5	1830	2	37	29	6	6	12
17_56006000039	Новосибирск	Октябрьский	Выборная	122	2550	1	39	19	9	1	10
17_56023000032	Новосибирск	Октябрьский	Высоцкого	140/4	1790	1	49	21	14	5	10
17_56031000032	Новосибирск	Октябрьский	Обская 2-я	154	2990	1	27	18	1	5	9
17_56031000033	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	2800	2	54	25	14	9	10
17_56037000023	Новосибирск	Октябрьский	Высоцкого	150	1780	1	33	26	5	4	10
17_56059000015	Новосибирск	Октябрьский	Выборная	121	2050	1	30	15	6	3	5
17_56059000026	Новосибирск	Октябрьский	Кирова	108	4650	2	51	30	8	6	17
17_56069000066	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	2660	1	33	16	10	7	16
17_56074000037	Новосибирск	Октябрьский	Бориса Богаткова	260/1	3520	1	38	18	8	21	25
17_56074000060	Новосибирск	Октябрьский	Татьяны Снежиной	21/2	2600	1	42	25	12	2	9
17_56082000018	Новосибирск	Октябрьский	Выборная	158	2999	1	49	20	13	3	10
17_56100000004	Новосибирск	Октябрьский	Обская	139	4200	4	80	51	7	4	9
17_56104000053	Новосибирск	Октябрьский	Лазурная	22	3399	3	61	38	8	10	10
17_56106000047	Новосибирск	Октябрьский	Владимира Заровного	38	2770	1	25	20	1	6	17
17_56122000039	Новосибирск	Октябрьский	Федосеева	2	3950	1	50	23	12	3	14
17_56152000136	Новосибирск	Октябрьский	Татьяны Снежиной	51	3200	1	54	1	1	9	10
17_56152000793	Новосибирск	Октябрьский	Никитина	3	2300	1	31	18	6	2	4
17_56152001143	Новосибирск	Октябрьский	Толстого	5	9250	3	114	66	20	8	9
17_56152001349	Новосибирск	Октябрьский	Кирова	319	5300	3	82	49	14	3	4
17_56176000005	Новосибирск	Октябрьский	Виталия Потылицына	13/2	4650	3	86	56	12	2	10
17_56176000035	Новосибирск	Октябрьский	Лазурная	22	3700	4	77	5	10	9	10
17_56179000001	Новосибирск	Октябрьский	Бориса Богаткова	217/1	5850	3	74	42	13	9	12
17_56195000217	Новосибирск	Октябрьский	Обская 2-я	154	4000	1	42	16	16	7	18
17_56195000301	Новосибирск	Октябрьский	Военная	43709	5900	2	62	36	13	10	18
17_56204000001	Новосибирск	Октябрьский	Декабристов	111	3000	2	44	27	7	2	9
17_56204000015	Новосибирск	Октябрьский	Декабристов	117	3950	2	64	35	11	2	17
17_56204000018	Новосибирск	Октябрьский	Кирова	225	3270	2	55	40	5	10	17
17_56204000019	Новосибирск	Октябрьский	Выборная	101/7	2090	1	40	20	10	2	9
17_56204000022	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	2490	1	43	17	12	4	10
17_56204000025	Новосибирск	Октябрьский	Кошурникова	53/2	4400	2	66	28	9	15	16
17_56204000026	Новосибирск	Октябрьский	Татьяны Снежиной	51	2890	1	54	25	14	4	10
17_56223000193	Новосибирск	Октябрьский	Высоцкого	139/6	3150	3	88	1	1	5	10
17_56223000264	Новосибирск	Октябрьский	Бориса Богаткова	226	2600	1	30	17	6	3	9
17_56223000272	Новосибирск	Октябрьский	Высоцкого	54/2	2149	1	33	20	5	10	10
17_56224000008	Новосибирск	Октябрьский	Бориса Богаткова	26	3200	1	35	17	6	7	12
17_56229000018	Новосибирск	Октябрьский	Вилюйская	7	3490	1	37	22	12	18	27
17_56235000004	Новосибирск	Октябрьский	Высоцкого	5	3850	3	67	41	10	1	10
17_56277000028	Новосибирск	Октябрьский	Бориса Богаткова	221	5650	3	73	43	11	3	14
17_56277000033	Новосибирск	Октябрьский	Высоцкого	34	3799	2	53	31	9	5	10
17_56277000038	Новосибирск	Октябрьский	Бориса Богаткова	194/9	6600	4	112	65	12	2	10
17_56293000010	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	1990	1	37	17	4	3	10
17_56293000011	Новосибирск	Октябрьский	Татьяны Снежиной	19/1	2280	1	33	18	5	5	9
17_56293000012	Новосибирск	Октябрьский	Виталия Потылицына	43712	3450	2	63	40	9	9	10
17_56293000014	Новосибирск	Октябрьский	Выборная	105/3	4500	2	63	45	14	1	9
17_56293000018	Новосибирск	Октябрьский	Виталия Потылицына	13/3	3300	2	60	35	9	17	18
17_56307000014	Новосибирск	Октябрьский	Высоцкого	31	3500	3	70	52	9	1	10
17_56325000002	Новосибирск	Октябрьский	Большевистская	48/2	4200	2	46	26	8	3	11
17_56330000448	Новосибирск	Октябрьский	Рябиновая	43739	5150	2	60	30	13	1	10
17_56330000552	Новосибирск	Октябрьский	Кирова	338	3700	2	42	1	1	1	4
17_56330000564	Новосибирск	Октябрьский	Закаменский мкр	15	3900	1	44	20	14	3	25
17_56330000652	Новосибирск	Октябрьский	Татьяны Снежиной	29	2049	1	33	17	8	9	10
17_56330000739	Новосибирск	Октябрьский	Бориса Богаткова	208/2	2900	1	24	15	3	22	22
17_56330000770	Новосибирск	Октябрьский	Татьяны Снежиной	43	2875	1	43	18	13	8	10
17_56333000006	Новосибирск	Октябрьский	Лескова	19	5930	2	63	32	12	6	10
17_56350000013	Новосибирск	Октябрьский	Выборная	131	3150	2	60	37	9	1	9
17_56350000018	Новосибирск	Октябрьский	1-я Родниковая	60	3250	2	60	40	18	2	3
17_56350000023	Новосибирск	Октябрьский	Ленинградская	101	6500	3	75	40	13	9	12
17_56350000024	Новосибирск	Октябрьский	Высоцкого	3	3149	2	52	31	9	3	10
17_56350000025	Новосибирск	Октябрьский	Кирова	108	3950	1	48	24	12	16	17
17_56350000028	Новосибирск	Октябрьский	Лазурная	4	3700	3	65	47	9	9	10
17_56359000003	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	3600	2	75	42	10	1	10
17_56362000009	Новосибирск	Октябрьский	Лескова	19	6190	2	75	45	13	6	10
17_56393000021	Новосибирск	Октябрьский	Добролюбова	162/1	2500	1	37	20	9	13	17
17_56439000014	Новосибирск	Октябрьский	Лескова	15	3680	1	39	19	9	9	10
17_56444000001	Новосибирск	Октябрьский	Выборная	101	3600	2	53	29	9	4	5
17_56444000012	Новосибирск	Октябрьский	Выборная	91/2	2900	1	45	35	1	12	16
17_56444000014	Новосибирск	Октябрьский	Рябиновая	43739	4350	2	63	37	13	1	10
17_56449000017	Новосибирск	Октябрьский	Татьяны Снежиной	49/1	2880	1	54	25	14	10	10
17_56451000013	Новосибирск	Октябрьский	Лазурная	10	2995	2	55	32	7	5	9
17_56458000003	Новосибирск	Октябрьский	Грибоедова	15	2450	2	45	28	6	1	3
17_56464000007	Новосибирск	Октябрьский	Обская 2-я	69	2400	1	37	19	9	1	10
17_56470000002	Новосибирск	Октябрьский	Высоцкого	43	5000	2	56	38	11	17	27
17_56470000007	Новосибирск	Октябрьский	Бориса Богаткова	208/3	2900	1	27	21	1	18	23
17_56486000003	Новосибирск	Октябрьский	Виталия Потылицына	1	2499	1	42	25	12	10	10
17_56524000029	Новосибирск	Октябрьский	Татьяны Снежиной	27/1	2450	1	34	28	3	4	10
17_56579000003	Новосибирск	Октябрьский	Татьяны Снежиной	43	1850	1	33	23	2	6	10
17_56593000003	Новосибирск	Октябрьский	Выборная	116	2940	2	44	28	8	9	10
17_56608000001	Новосибирск	Октябрьский	Татьяны Снежиной	29	2600	1	43	20	18	2	10
17_56608000002	Новосибирск	Октябрьский	Лазурная	22	3600	4	77	50	9	1	10
17_56619000001	Новосибирск	Октябрьский	Вилюйская	9	2850	1	33	20	3	27	27
17_56628000007	Новосибирск	Октябрьский	Высоцкого	31	3500	3	68	43	9	1	10
17_56647000003	Новосибирск	Октябрьский	Гусинобродский тракт	21	3100	3	55	35	7	1	3
1768_5184676	Новосибирск	Октябрьский	Кирова	27/3	11100	3	113	60	15	2	16
1768_5238544	Новосибирск	Октябрьский	Зыряновская	55	3800	1	52	25	14	2	10
1768_5271243	Новосибирск	Октябрьский	Никитина	102	1975	2	46	31	6	2	2
1768_5305032	Новосибирск	Октябрьский	Кирова	27/3	11100	4	112	50	16	2	16
1768_5340346	Новосибирск	Октябрьский	Чехова	388	2550	3	60	38	10	1	3
1768_5343793	Новосибирск	Октябрьский	Гурьевская	39	3300	1	30	19	6	4	5
1958_190619	Новосибирск	Октябрьский	Ленинградская	143	3050	3	60	48	6	3	5
1958_2107	Новосибирск	Октябрьский	Высоцкого	52	2850	1	54.3	25	14.7	10	10
1958_381	Новосибирск	Октябрьский	Закаменский мкр	13	3500	1	49	22	12	1	25
1958_s4	Новосибирск	Октябрьский	Большевистская	98	2950	1	35	21	1	5	17
21128_1	Новосибирск	Октябрьский	Высоцкого	42	2050	1	32.7	12.1	6.6	7	10
21138_rt13993_3_214130000058	Новосибирск	Октябрьский	Татьяны Снежиной	25/3	2200	1	37.7	25	2.6	9	10
21138_rt13993_3_224720000043	Новосибирск	Октябрьский	Высоцкого	41/5	2199	1	33	20	5	7	10
21320_9	Новосибирск	Октябрьский	Рябиновая	43739	3200	2	53	30	7	2	17
21320_rt13172_3_195890000028	Новосибирск	Октябрьский	Рябиновая	43739	3150	2	52	30	7	2	17
2169_Bolschev_122	Новосибирск	Октябрьский	Большевистская	122	3390	1	35.3	13.5	10.5	8	10
2169_Grib_32	Новосибирск	Октябрьский	Грибоедова	32/3	6900	3	92.1	58	13.6	8	12
2169_Obsk_73	Новосибирск	Октябрьский	Обская 2-я	73	9500	3	116	32	41.7	15	16
2169_Shev_31	Новосибирск	Октябрьский	Шевченко	31	6600	3	78.5	43.3	13.2	3	13
2169_Vib_106	Новосибирск	Октябрьский	Выборная	106/1	3290	2	43	12.2	18.2	1	17
2169_vis_139	Новосибирск	Октябрьский	Высоцкого	139	2360	2	63.13	36.42	12.05	3	10
2169_Voen_16	Новосибирск	Октябрьский	Военная	16	8990	3	105	52	28	10	17
2169_zr_55	Новосибирск	Октябрьский	Зыряновская	55	8600	3	114	67	15.5	6	13
21756_106567	Новосибирск	Октябрьский	Декабристов	117	4100	3	88	48.5	14	10	17
21756_106568	Новосибирск	Октябрьский	Пролетарская	271/5	3998	1	61	31	9	8	10
21756_108446	Новосибирск	Октябрьский	Лескова	27	4040	1	47.1	17	14	14	25
21756_109657	Новосибирск	Октябрьский	Зыряновская	61	3760	1	43	21	11	3	15
21979_rt13544_3_201970000047	Новосибирск	Октябрьский	Выборная	139	2700	1	39.9	20	10	3	12
2211_00108	Новосибирск	Октябрьский	Выборная	108	2200	1	36	18	10	2	10
2211_06082019	Новосибирск	Октябрьский	Стофато	7	2970	1	42	17	10	7	10
2211_0608201914	Новосибирск	Октябрьский	Стофато	7	2970	1	42	17	10	7	10
2211_09092014	Новосибирск	Октябрьский	Большевистская	34	2550	2	54	33	6	4	5
2211_110	Новосибирск	Октябрьский	Татьяны Снежиной	19/1	2495	1	43	18	10	7	10
2211_149	Новосибирск	Октябрьский	Толстого	149	8500	3	93.5	53	12	8	12
2211_16032019-10	Новосибирск	Октябрьский	Стофато	7	2800	1	41	17	10	1	10
2211_160320192	Новосибирск	Октябрьский	Стофато	7	2800	1	41	17	10	3	10
2211_190219	Новосибирск	Октябрьский	Стофато	7	2750	1	36	17	9	6	10
2211_1902193	Новосибирск	Октябрьский	Стофато	7	2750	1	36	17	9	7	10
2211_2019-03-16	Новосибирск	Октябрьский	Стофато	7	2800	2	41	17	10	1	10
2211_22112	Новосибирск	Октябрьский	Татьяны Снежиной	25	3500	2	59	37	9	3	10
2211_30052019	Новосибирск	Октябрьский	Стофато	7	2800	1	41	17	10	1	10
2211_30052019-1	Новосибирск	Октябрьский	Стофато	7	2850	1	41	17	10	3	10
2211_30052019-2	Новосибирск	Октябрьский	Стофато	7	2750	1	36.28	16.72	9	6	10
2211_30052019-3	Новосибирск	Октябрьский	Стофато	7	2800	2	41	20	7	1	10
2211_51	Новосибирск	Октябрьский	Бориса Богаткова	226	2220	1	30	17	5.2	1	9
2211_9102	Новосибирск	Октябрьский	Бориса Богаткова	186/1	4400	4	71.1	49	8.8	2	9
2211_Е-Л	Новосибирск	Октябрьский	Большевистская	102	3150	1	30	-	-	14	17
2342_1025	Новосибирск	Октябрьский	Татьяны Снежиной	21	4850	3	95	57	18	3	10
2342_1032	Новосибирск	Октябрьский	Лазурная	6	3580	4	74.3	46.5	9	8	10
2342_2020	Новосибирск	Октябрьский	Лазурная	28	2499	1	27	19	3	9	18
2342_42	Новосибирск	Октябрьский	Воинская	71	4500	3	64	40.6	9	4	10
2342_54	Новосибирск	Октябрьский	Большевистская	175/6	4170	3	70	50	7.5	2	9
2342_55	Новосибирск	Октябрьский	Татьяны Снежиной	27/3	2150	1	38.3	20.8	7.3	3	10
2342_554	Новосибирск	Октябрьский	Выборная	99/7	3450	2	46	14.5	27	1	7
2342_565	Новосибирск	Октябрьский	Бориса Богаткова	163/9	1150	1	13	12	1	1	9
2342_652	Новосибирск	Октябрьский	Гусинобродское	21	4200	4	74	51	7	5	9
2342_76	Новосибирск	Октябрьский	9-го Ноября	95	3999	3	62	40	9	9	9
2342_760	Новосибирск	Октябрьский	Высоцкого	139/3	1550	1	34	30	2	6	10
2342_79	Новосибирск	Октябрьский	Высоцкого	43	4150	2	57	31	8	4	24
2401_113090	Новосибирск	Октябрьский	Кирова	27/3	7250	2	81	50.4	12.4	16	16
2401_123657	Новосибирск	Октябрьский	Высоцкого	45	3300	2	40.3	26.5	0	12	27
2401_126010	Новосибирск	Октябрьский	Татьяны Снежиной	21	4650	3	87	57	13	3	10
2401_126557	Новосибирск	Октябрьский	Кирова	25	8300	2	90	41	22	18	22
2401_128750	Новосибирск	Октябрьский	Покатная	130/1	2600	1	27.9	19.8	0	9	10
2401_131734	Новосибирск	Октябрьский	Высоцкого	139/3	2060	1	49	22	14	3	10
2401_131851	Новосибирск	Октябрьский	Высоцкого	139/3	2000	1	49	22	14	7	10
2401_132195	Новосибирск	Октябрьский	Высоцкого	141/9	1600	1	39	1	1	1	10
2401_132357	Новосибирск	Октябрьский	Тополевая	14	2888	2	50.4	38	9.3	3	3
2401_132605	Новосибирск	Октябрьский	Никитина	143	2100	2	36	12	16	2	5
2401_132621	Новосибирск	Октябрьский	Выборная	101/7	1998	1	39	19	10	5	9
2401_132734	Новосибирск	Октябрьский	Высоцкого	150/2	1399	1	32.47	20.35	5	2	10
2401_132910	Новосибирск	Октябрьский	Чехова	254	3350	3	61	41	7	9	9
2401_133436	Новосибирск	Октябрьский	Татьяны Снежиной	37	3800	2	56	37	10	8	18
2401_134503	Новосибирск	Октябрьский	Кирова	46	8888	3	82.3	61	12	5	12
2401_134959	Новосибирск	Октябрьский	Профсоюзная	11	3900	3	80	28.6	0	1	2
2401_135198	Новосибирск	Октябрьский	Зыряновская	57	7200	2	82.1	46.8	28.2	8	13
2401_136037	Новосибирск	Октябрьский	Военная	16	6500	2	69.1	42.2	12	13	26
2401_136481	Новосибирск	Октябрьский	Покатная	130/1	3365	1	29	15	8.5	7	10
2401_136735	Новосибирск	Октябрьский	Высоцкого	150/3	1350	1	32	25	5	10	10
2401_137134	Новосибирск	Октябрьский	Военного городка	774	4800	3	73.9	42.3	13.2	6	10
2401_137204	Новосибирск	Октябрьский	Высоцкого	45	3300	1	40.3	26.5	0	12	27
2401_137366	Новосибирск	Октябрьский	Владимира Заровного	38	3400	1	38	24	3	12	17
2401_139194	Новосибирск	Октябрьский	Добролюбова	162/1	3860	2	51	32	8	8	17
2401_139383	Новосибирск	Октябрьский	Высоцкого	142/1	1800	1	33.58	20	5	5	10
2401_139388	Новосибирск	Октябрьский	Обская 2-я	69	3950	3	63	39.1	8.8	6	10
2401_139431	Новосибирск	Октябрьский	Тополевая	16/1	5140	2	64	38.2	12.1	2	10
2401_139565	Новосибирск	Октябрьский	Инская	56	9900	4	176	100	50	3	5
2401_139626	Новосибирск	Октябрьский	Высоцкого	53	4400	2	67.1	34.6	14.5	12	15
2401_139688	Новосибирск	Октябрьский	Зыряновская	55	4600	1	56.5	15	21.5	6	13
2401_139752	Новосибирск	Октябрьский	Зыряновская	55	4600	2	56.5	15	21.5	6	13
2401_139796	Новосибирск	Октябрьский	Высоцкого	41	3800	4	77.5	52	8.8	6	10
2401_140215	Новосибирск	Октябрьский	Высоцкого	41	4100	3	64.8	40	8.8	4	10
2401_140571	Новосибирск	Октябрьский	Грибоедова	34	7500	3	100.2	51	11.5	11	12
2401_140573	Новосибирск	Октябрьский	Обская	80/1	3950	2	54.8	33.3	8.1	8	11
2401_140691	Новосибирск	Октябрьский	Большевистская	145/1	1550	1	24.6	22.2	0	4	4
2401_140696	Новосибирск	Октябрьский	Татьяны Снежиной	25/3	2379	1	39.6	25	5	5	10
2401_141145	Новосибирск	Октябрьский	Татьяны Снежиной	31/1	2160	1	33	20	5	7	10
2401_142024	Новосибирск	Октябрьский	Кирова	25	6700	2	77.7	41.3	0	13	22
2401_142029	Новосибирск	Октябрьский	Доватора	33	3800	3	60	39	0	1	5
2401_142078	Новосибирск	Октябрьский	Большевистская	118	4250	1	37.7	15	13	12	17
2401_142368	Новосибирск	Октябрьский	Добролюбова	162/1	3030	1	34	18	8	15	16
2401_142484	Новосибирск	Октябрьский	Добролюбова	130	1660	3	37.5	27.3	4	1	2
2401_142669	Новосибирск	Октябрьский	Инская	56	7500	3	90.3	48.9	12	3	5
2401_142755	Новосибирск	Октябрьский	Высоцкого	142/1	1800	1	32.65	20.35	5	5	10
2401_142838	Новосибирск	Октябрьский	Шевченко	25	8200	3	65	32	0	14	24
